app_id,user_id,is_recommended,date,hours
431960,8588767,True,2020-12-31,59.6
374320,3635265,False,2019-05-05,15.8
292030,9320019,True,2019-05-26,124.7
550,7609653,True,2020-09-28,42.5
292030,8543862,True,2019-04-09,127.7
1172470,5433546,True,2020-11-07,603.9
1091500,12050407,True,2020-12-25,93.5
218620,7692684,True,2021-07-05,175.5
291550,9320019,True,2022-02-06,26.5
1172620,5433546,True,2020-09-27,628.8
413150,4755278,True,2021-11-10,20.6
275850,7609653,True,2018-07-30,498.7
578080,5433546,True,2020-07-20,862.9
107410,7609653,True,2017-10-27,191.9
271590,3635265,False,2015-10-29,413.8
489830,10735609,True,2021-05-22,16.6
1091500,10735609,False,2021-05-22,8.1
292030,12262292,True,2021-07-11,3.6
570,7609653,False,2020-02-02,16.8
374320,5433546,True,2020-11-11,809.9
242760,5433546,True,2020-07-20,67.2
4000,4755278,True,2015-01-16,293.1
1172470,12262292,True,2020-11-13,6.3
892970,5433546,True,2021-12-05,214.3
1172620,7692684,True,2020-12-22,131.5
1172620,4755278,True,2021-11-10,36.8
322330,4755278,True,2021-11-11,6.5
739630,12262292,True,2020-10-20,35.1
105600,10735609,True,2021-05-22,444.8
570,8588767,True,2017-11-27,892.8
221100,5433546,True,2020-10-02,276.3
1174180,4755278,True,2019-12-23,176.4
431960,7692684,True,2022-04-19,4.7
367520,8298877,True,2022-11-30,10.7
251570,4755278,True,2021-12-05,16.4
4000,7692684,True,2021-12-23,0.4
381210,8298877,False,2017-11-23,163.2
381210,8588767,True,2017-11-27,379.6
1174180,7609653,True,2019-12-05,842.0
377160,9320019,True,2021-07-17,1.1
377160,10735609,True,2021-05-23,105.9
381210,4837698,True,2018-09-21,413.8
359550,10735609,True,2021-05-23,479.9
292030,4755278,True,2021-11-10,19.9
578080,3635265,False,2017-03-25,157.1
221100,12262292,True,2022-04-23,19.5
271590,9320019,True,2021-02-17,92.2
1085660,4755278,True,2022-01-07,2.8
730,7609653,False,2017-04-04,44.2
275850,8543862,True,2021-03-25,19.4
292030,3635265,True,2016-05-20,286.6
289070,8543862,True,2019-10-03,7.7
218620,7609653,True,2017-04-04,97.2
218620,4755278,True,2015-07-18,11.3
489830,4837698,True,2019-12-06,51.1
1172470,4755278,False,2021-11-10,11.1
1245620,12262292,True,2022-02-24,1.4
218620,10735609,True,2021-05-23,131.8
346110,5433546,True,2020-09-16,544.0
739630,5433546,True,2020-10-02,473.4
4000,7609653,True,2018-11-11,701.6
1174180,8543862,True,2019-12-21,65.1
730,8588767,False,2017-03-20,117.2
1091500,12262292,True,2020-12-10,49.8
1245620,9320019,True,2022-02-26,181.7
1172620,7609653,True,2020-06-27,100.7
292030,10735609,True,2021-05-24,5.5
550,4755278,True,2021-11-28,24.1
346110,8588767,True,2019-07-26,327.5
1172620,10735609,True,2021-05-22,136.2
1172470,10735609,False,2021-05-22,11.5
374320,13326161,True,2017-02-27,4.3
289070,5433546,True,2021-03-27,393.3
578080,8588767,True,2017-11-02,129.2
271590,4755278,True,2019-08-22,465.9
1091500,7609653,True,2020-12-09,115.7
107410,5433546,True,2020-07-20,968.7
440,8588767,True,2017-11-27,416.7
292030,7609653,True,2019-07-01,1.5
374320,9320019,True,2021-04-17,48.3
489830,5433546,True,2021-03-02,474.7
381210,10735609,False,2021-05-26,153.0
289070,12050407,True,2019-02-12,6.6
578080,10735609,False,2021-05-24,148.3
105600,5433546,True,2021-03-19,196.6
105600,4755278,True,2021-11-09,95.4
242760,4755278,True,2021-11-10,14.0
359550,5433546,True,2020-10-23,869.2
271590,7692684,False,2020-02-28,181.1
739630,10735609,True,2021-05-22,92.1
377160,8543862,True,2019-06-10,9.5
252490,10735609,False,2021-05-23,87.7
1091500,9320019,True,2021-05-30,168.4
218620,5433546,True,2020-07-20,269.9
252490,8588767,True,2017-11-27,276.7
1091500,4837698,True,2020-12-12,68.1
275850,8298877,True,2022-02-21,32.5
1091500,4755278,True,2021-11-09,50.3
359550,3635265,True,2016-06-22,83.3
374320,12262292,True,2021-03-16,6.9
275850,12262292,True,2020-10-25,6.3
