app_id,user_id,is_recommended,date,hours
33,12,True,2020-12-31,59.6
29,1,False,2019-05-05,15.8
23,13,True,2019-05-26,124.7
2,8,True,2020-09-28,42.5
23,11,True,2019-04-09,127.7
44,4,True,2020-11-07,603.9
43,18,True,2020-12-25,93.5
10,9,True,2021-07-05,175.5
22,13,True,2022-02-06,26.5
45,4,True,2020-09-27,628.8
32,2,True,2021-11-10,20.6
20,8,True,2018-07-30,498.7
36,4,True,2020-07-20,862.9
9,8,True,2017-10-27,191.9
19,1,False,2015-10-29,413.8
35,16,True,2021-05-22,16.6
43,16,False,2021-05-22,8.1
23,19,True,2021-07-11,3.6
3,8,False,2020-02-02,16.8
29,4,True,2020-11-11,809.9
16,4,True,2020-07-20,67.2
6,2,True,2015-01-16,293.1
44,19,True,2020-11-13,6.3
39,4,True,2021-12-05,214.3
45,9,True,2020-12-22,131.5
45,2,True,2021-11-10,36.8
25,2,True,2021-11-11,6.5
38,19,True,2020-10-20,35.1
8,16,True,2021-05-22,444.8
3,12,True,2017-11-27,892.8
11,4,True,2020-10-02,276.3
46,2,True,2019-12-23,176.4
33,9,True,2022-04-19,4.7
28,10,True,2022-11-30,10.7
17,2,True,2021-12-05,16.4
6,9,True,2021-12-23,0.4
31,10,False,2017-11-23,163.2
31,12,True,2017-11-27,379.6
46,8,True,2019-12-05,842.0
30,13,True,2021-07-17,1.1
30,16,True,2021-05-23,105.9
31,3,True,2018-09-21,413.8
27,16,True,2021-05-23,479.9
23,2,True,2021-11-10,19.9
36,1,False,2017-03-25,157.1
11,19,True,2022-04-23,19.5
19,13,True,2021-02-17,92.2
42,2,True,2022-01-07,2.8
5,8,False,2017-04-04,44.2
20,11,True,2021-03-25,19.4
23,1,True,2016-05-20,286.6
21,11,True,2019-10-03,7.7
10,8,True,2017-04-04,97.2
10,2,True,2015-07-18,11.3
35,3,True,2019-12-06,51.1
44,2,False,2021-11-10,11.1
47,19,True,2022-02-24,1.4
10,16,True,2021-05-23,131.8
26,4,True,2020-09-16,544.0
38,4,True,2020-10-02,473.4
6,8,True,2018-11-11,701.6
